source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[enrichment process]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[proteomics data acquisition method]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 21	Homo sapiens	distal fallopian tube epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	normal	not applicable	cell	run 27	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130611_QE3_UPLC10_CFR_SA_OC_T_FI_04_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130611_QE3_UPLC10_CFR_SA_OC_T_FI_04_01_01.raw
Sample 22	Homo sapiens	distal fallopian tube epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	normal	not applicable	cell	run 28	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130611_QE3_UPLC10_CFR_SA_OC_T_FI_05_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130611_QE3_UPLC10_CFR_SA_OC_T_FI_05_01_01.raw
Sample 23	Homo sapiens	ovarian surface epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	normal	not applicable	cell	run 29	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130611_QE3_UPLC10_CFR_SA_OC_T_NO_02_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130611_QE3_UPLC10_CFR_SA_OC_T_NO_02_01_01.raw
Sample 24	Homo sapiens	ovarian surface epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	normal	not applicable	cell	run 30	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130611_QE3_UPLC10_CFR_SA_OC_T_NO_03_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130611_QE3_UPLC10_CFR_SA_OC_T_NO_03_01_01.raw
Sample 25	Homo sapiens	ovarian surface epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	normal	not applicable	cell	run 31	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130611_QE3_UPLC10_CFR_SA_OC_T_NO_04_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130611_QE3_UPLC10_CFR_SA_OC_T_NO_04_01_01.raw
Sample 26	Homo sapiens	ovarian surface epithelium	not available	not available	not available	female	epithelial cells	not applicable	none	enrichment of phosphorylated Protein	normal	not applicable	cell	run 32	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20130611_QE3_UPLC10_CFR_SA_OC_T_NO_05_01_01.raw	NT=Q Exactive;AC=MS:1001911	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	25% CE	7 ppm	0.02 Da	20130611_QE3_UPLC10_CFR_SA_OC_T_NO_05_01_01.raw
Sample 27	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	none	enrichment of phosphorylated Protein	epithelial ovarian cancer	1	cell	run 33	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150616_QE7_UPLC10_RJC_COLLAB_CFR_NTp1_1_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150616_QE7_UPLC10_RJC_COLLAB_CFR_NTp1_1_01.raw
Sample 28	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	none	enrichment of phosphorylated Protein	epithelial ovarian cancer	2	cell	run 34	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150616_QE7_UPLC10_RJC_COLLAB_CFR_NTp1_3_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150616_QE7_UPLC10_RJC_COLLAB_CFR_NTp1_3_01.raw
Sample 29	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	none	enrichment of phosphorylated Protein	epithelial ovarian cancer	3	cell	run 35	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150616_QE7_UPLC10_RJC_COLLAB_CFR_NTp1_4_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150616_QE7_UPLC10_RJC_COLLAB_CFR_NTp1_4_01.raw
Sample 30	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	CDK7 inhibitor THZ1	enrichment of phosphorylated Protein	epithelial ovarian cancer	1	cell	run 36	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150616_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p1_1_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150616_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p1_1_01.raw
Sample 31	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	CDK7 inhibitor THZ1	enrichment of phosphorylated Protein	epithelial ovarian cancer	2	cell	run 37	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150616_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p1_2_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150616_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p1_2_01.raw
Sample 32	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	CDK7 inhibitor THZ1	enrichment of phosphorylated Protein	epithelial ovarian cancer	3	cell	run 38	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150616_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p1_4_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150616_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p1_4_01.raw
Sample 33	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	MEK inhibitor U0126	enrichment of phosphorylated Protein	epithelial ovarian cancer	1	cell	run 39	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150616_QE7_UPLC10_RJC_COLLAB_CFR_UOp1_1_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150616_QE7_UPLC10_RJC_COLLAB_CFR_UOp1_1_01.raw
Sample 34	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	MEK inhibitor U0126	enrichment of phosphorylated Protein	epithelial ovarian cancer	2	cell	run 40	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150616_QE7_UPLC10_RJC_COLLAB_CFR_UOp1_2_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150616_QE7_UPLC10_RJC_COLLAB_CFR_UOp1_2_01.raw
Sample 35	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	MEK inhibitor U0126	enrichment of phosphorylated Protein	epithelial ovarian cancer	3	cell	run 41	proteomic profiling by mass spectrometry	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150616_QE7_UPLC10_RJC_COLLAB_CFR_UOp1_3_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150616_QE7_UPLC10_RJC_COLLAB_CFR_UOp1_3_01.raw
Sample 36	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	none	enrichment of phosphorylated Protein	epithelial ovarian cancer	1	cell	run 42	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150619_QE7_UPLC10_RJC_COLLAB_CFR_NTp2_1_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150619_QE7_UPLC10_RJC_COLLAB_CFR_NTp2_1_01.raw
Sample 37	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	none	enrichment of phosphorylated Protein	epithelial ovarian cancer	2	cell	run 43	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150619_QE7_UPLC10_RJC_COLLAB_CFR_NTp2_3_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150619_QE7_UPLC10_RJC_COLLAB_CFR_NTp2_3_01.raw
Sample 38	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	none	enrichment of phosphorylated Protein	epithelial ovarian cancer	3	cell	run 44	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150619_QE7_UPLC10_RJC_COLLAB_CFR_NTp2_4_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150619_QE7_UPLC10_RJC_COLLAB_CFR_NTp2_4_01.raw
Sample 39	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	CDK7 inhibitor THZ1	enrichment of phosphorylated Protein	epithelial ovarian cancer	1	cell	run 45	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150619_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p2_1_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150619_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p2_1_01.raw
Sample 40	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	CDK7 inhibitor THZ1	enrichment of phosphorylated Protein	epithelial ovarian cancer	2	cell	run 46	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150619_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p2_2_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150619_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p2_2_01.raw
Sample 41	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	CDK7 inhibitor THZ1	enrichment of phosphorylated Protein	epithelial ovarian cancer	3	cell	run 47	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150619_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p2_4_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150619_QE7_UPLC10_RJC_COLLAB_CFR_THZ1p2_4_01.raw
Sample 42	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	MEK inhibitor U0126	enrichment of phosphorylated Protein	epithelial ovarian cancer	1	cell	run 48	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150619_QE7_UPLC10_RJC_COLLAB_CFR_UOp2_1_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150619_QE7_UPLC10_RJC_COLLAB_CFR_UOp2_1_01.raw
Sample 43	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	MEK inhibitor U0126	enrichment of phosphorylated Protein	epithelial ovarian cancer	2	cell	run 49	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150619_QE7_UPLC10_RJC_COLLAB_CFR_UOp2_2_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150619_QE7_UPLC10_RJC_COLLAB_CFR_UOp2_2_01.raw
Sample 44	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	MEK inhibitor U0126	enrichment of phosphorylated Protein	epithelial ovarian cancer	3	cell	run 50	proteomic profiling by mass spectrometry	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150619_QE7_UPLC10_RJC_COLLAB_CFR_UOp2_3_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150619_QE7_UPLC10_RJC_COLLAB_CFR_UOp2_3_01.raw
Sample 45	Homo sapiens	not applicable	Caucasian	60Y	not available	female	epithelial cells	OVCAR3	none	no enrichment	epithelial ovarian cancer	1	cell	run 51	proteomic profiling by mass spectrometry	not applicable	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/04/PXD003531/20150623_QE7_UPLC10_RJC_COLLAB_CFR_NTprot_1_01.raw	AC=MS:1002877;NT=Q Exactive HF-X	NT=Data-Dependent Acquisition;AC=NCIT:C161785	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	not aplicable	NT=deamidation;MT=variable;TA=N,Q;AC=UNIMOD:7	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28% NCE	7 ppm	0.02 Da	20150623_QE7_UPLC10_RJC_COLLAB_CFR_NTprot_1_01.raw
