Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[infect]	Characteristics[sex]	Characteristics[age]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Characteristics[enrichment process]	Material Type	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[enrichment process]	factor value[proteomics data acquisition method]
Sample 34	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	not applicable	enrichment of phosphorylated Protein	cell	run 34	proteomic profiling by mass spectrometry	LP1_05_phos_DDA_114.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_05_phos_DDA_114.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 35	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	enrichment of phosphorylated Protein	cell	run 35	proteomic profiling by mass spectrometry	LP1_07_phos_DDA_122.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_07_phos_DDA_122.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 36	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	enrichment of phosphorylated Protein	cell	run 36	proteomic profiling by mass spectrometry	LP1_11_phos_DDA_126.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_11_phos_DDA_126.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 37	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	enrichment of phosphorylated Protein	cell	run 37	proteomic profiling by mass spectrometry	LP1_13_phos_DDA_130.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_13_phos_DDA_130.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 38	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	enrichment of phosphorylated Protein	cell	run 38	proteomic profiling by mass spectrometry	LP1_18_phos_DDA_134.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_18_phos_DDA_134.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 39	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	enrichment of phosphorylated Protein	cell	run 39	proteomic profiling by mass spectrometry	LP1_20_phos_DDA_138.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_20_phos_DDA_138.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 40	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	not applicable	enrichment of phosphorylated Protein	cell	run 40	proteomic profiling by mass spectrometry	LP1_24_phos_DDA_118.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_24_phos_DDA_118.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Dependent Acquisition;AC=NCIT:C161785
Sample 41	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	3	enrichment of phosphorylated Protein	cell	run 41	proteomic profiling by mass spectrometry	LP1_01_phos_DIA_113.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_01_phos_DIA_113.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 42	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	2	enrichment of phosphorylated Protein	cell	run 42	proteomic profiling by mass spectrometry	LP1_02_phos_DIA_112.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_02_phos_DIA_112.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 43	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	1	enrichment of phosphorylated Protein	cell	run 43	proteomic profiling by mass spectrometry	LP1_03_phos_DIA_111.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_03_phos_DIA_111.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 44	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	1	enrichment of phosphorylated Protein	cell	run 44	proteomic profiling by mass spectrometry	LP1_04_phos_DIA_111.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_04_phos_DIA_111.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 45	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	2	enrichment of phosphorylated Protein	cell	run 45	proteomic profiling by mass spectrometry	LP1_05_phos_DIA_112.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_05_phos_DIA_112.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 46	Chlorocebus sabaeus	kidney	not available	normal	control	not available	not available	epithelial	Vero E6	3	enrichment of phosphorylated Protein	cell	run 46	proteomic profiling by mass spectrometry	LP1_06_phos_DIA_113.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_06_phos_DIA_113.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 47	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	enrichment of phosphorylated Protein	cell	run 47	proteomic profiling by mass spectrometry	LP1_07_phos_DIA_119.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_07_phos_DIA_119.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 48	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	enrichment of phosphorylated Protein	cell	run 48	proteomic profiling by mass spectrometry	LP1_08_phos_DIA_120.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_08_phos_DIA_120.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 49	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	enrichment of phosphorylated Protein	cell	run 49	proteomic profiling by mass spectrometry	LP1_09_phos_DIA_121.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_09_phos_DIA_121.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 50	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	enrichment of phosphorylated Protein	cell	run 50	proteomic profiling by mass spectrometry	LP1_10_phos_DIA_123.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_10_phos_DIA_123.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 51	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	enrichment of phosphorylated Protein	cell	run 51	proteomic profiling by mass spectrometry	LP1_11_phos_DIA_124.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_11_phos_DIA_124.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 52	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	enrichment of phosphorylated Protein	cell	run 52	proteomic profiling by mass spectrometry	LP1_12_phos_DIA_125.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_12_phos_DIA_125.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 53	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	enrichment of phosphorylated Protein	cell	run 53	proteomic profiling by mass spectrometry	LP1_13_phos_DIA_127.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_13_phos_DIA_127.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 54	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	enrichment of phosphorylated Protein	cell	run 54	proteomic profiling by mass spectrometry	LP1_14_phos_DIA_128.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_14_phos_DIA_128.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 55	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	enrichment of phosphorylated Protein	cell	run 55	proteomic profiling by mass spectrometry	LP1_15_phos_DIA_129.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_15_phos_DIA_129.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 56	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	enrichment of phosphorylated Protein	cell	run 56	proteomic profiling by mass spectrometry	LP1_16_phos_DIA_131.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_16_phos_DIA_131.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 57	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	enrichment of phosphorylated Protein	cell	run 57	proteomic profiling by mass spectrometry	LP1_17_phos_DIA_132.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_17_phos_DIA_132.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 58	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	enrichment of phosphorylated Protein	cell	run 58	proteomic profiling by mass spectrometry	LP1_18_phos_DIA_133.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_18_phos_DIA_133.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 59	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	enrichment of phosphorylated Protein	cell	run 59	proteomic profiling by mass spectrometry	LP1_19_phos_DIA_135.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_19_phos_DIA_135.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 60	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	enrichment of phosphorylated Protein	cell	run 60	proteomic profiling by mass spectrometry	LP1_20_phos_DIA_136.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_20_phos_DIA_136.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 61	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	enrichment of phosphorylated Protein	cell	run 61	proteomic profiling by mass spectrometry	LP1_21_phos_DIA_137.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_21_phos_DIA_137.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 62	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	1	enrichment of phosphorylated Protein	cell	run 62	proteomic profiling by mass spectrometry	LP1_22_phos_DIA_115.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_22_phos_DIA_115.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 63	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	2	enrichment of phosphorylated Protein	cell	run 63	proteomic profiling by mass spectrometry	LP1_23_phos_DIA_116.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_23_phos_DIA_116.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
Sample 64	Chlorocebus sabaeus	kidney	not available	normal	Severe acute respiratory syndrome coronavirus 2	not available	not available	epithelial	Vero E6	3	enrichment of phosphorylated Protein	cell	run 64	proteomic profiling by mass spectrometry	LP1_24_phos_DIA_117.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019113/LP1_24_phos_DIA_117.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1000484; NT=Orbitrap	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000422;NT=HCD	30% NCE	not available	not available	enrichment of phosphorylated Protein	NT=Data-Independent Acquisition;AC=NCIT:C161786
