source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	material type	assay name	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 38	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 38	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K3_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K3_F2.raw
Sample 39	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 39	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K3_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K3_F3.raw
Sample 40	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 40	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K4_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K4_F1.raw
Sample 41	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 41	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K4_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K4_F2.raw
Sample 42	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 42	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K4_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K4_F3.raw
Sample 43	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 43	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K5_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K5_F1.raw
Sample 44	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 44	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K5_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K5_F2.raw
Sample 45	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 45	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K5_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K5_F3.raw
Sample 46	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 46	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K7_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K7_F1.raw
Sample 47	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 47	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K7_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K7_F2.raw
Sample 48	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 48	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K7_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K7_F3.raw
Sample 49	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 49	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K8_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K8_F1.raw
Sample 50	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 50	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K8_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K8_F2.raw
Sample 51	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 51	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K8_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K8_F3.raw
Sample 52	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 52	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K9_F1.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K9_F1.raw
Sample 53	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 53	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K9_F2.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K9_F2.raw
Sample 54	Homo sapiens	kidney	not available	not available	not available	not available	not available	normal	not available	1	tissue	run 54	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/chRCC_K9_F3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	chRCC_K9_F3.raw
Sample 55	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 55	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_1_1D.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_1_1D.raw
Sample 55	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 56	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_1_SCX_3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_1_SCX_3.raw
Sample 55	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 57	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_1_SCX_4.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_1_SCX_4.raw
Sample 55	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 58	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_1_SCX_5.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_1_SCX_5.raw
Sample 55	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 59	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_1_SCX_X.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_1_SCX_X.raw
Sample 56	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 60	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_2_1D.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_2_1D.raw
Sample 56	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 61	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_2_SCX_3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_2_SCX_3.raw
Sample 56	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 62	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_2_SCX_4.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_2_SCX_4.raw
Sample 56	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 63	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_2_SCX_5.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_2_SCX_5.raw
Sample 56	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 64	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_2_SCX_X.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_2_SCX_X.raw
Sample 57	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 65	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_3_1D.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_3_1D.raw
Sample 57	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 66	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_3_SCX_3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_3_SCX_3.raw
Sample 57	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 67	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_3_SCX_4.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_3_SCX_4.raw
Sample 57	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 68	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_3_SCX_5.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_3_SCX_5.raw
Sample 57	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 69	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_no_BSA_3_SCX_X.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_no_BSA_3_SCX_X.raw
Sample 58	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 70	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_with_BSA_1_1D.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_with_BSA_1_1D.raw
Sample 58	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 71	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_with_BSA_1_SCX_3.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_with_BSA_1_SCX_3.raw
Sample 58	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 72	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_with_BSA_1_SCX_4.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_with_BSA_1_SCX_4.raw
Sample 58	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 73	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_with_BSA_1_SCX_5.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_with_BSA_1_SCX_5.raw
Sample 58	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 74	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_with_BSA_1_SCX_X.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_with_BSA_1_SCX_X.raw
Sample 59	Homo sapiens	not available	not available	not available	not available	not available	UOK276	not available	not available	1	cell line	run 75	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/07/PXD019123/UOK276_1%AA_with_BSA_2_1D.raw	NT=Q Exactive HF;AC=MS:1002523	NT=Orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	27 eV	4.5 ppm	20 ppm	UOK276_1%AA_with_BSA_2_1D.raw
