source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[phenotype]	characteristics[individual]	characteristics[data file]	comment[associated file uri]	characteristics[fraction identifier]	comment[label]	characteristics[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	material type	factor value[organism part]
sample 5	homo sapiens	NA	NA	NA	Female	normal	NA	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr1.raw	1	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 5	homo sapiens	NA	NA	NA	Female	normal	NA	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr2.raw	2	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 5	homo sapiens	NA	NA	NA	Female	normal	NA	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr3.raw	3	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 5	homo sapiens	NA	NA	NA	Female	normal	NA	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr4.raw	4	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 5	homo sapiens	NA	NA	NA	Female	normal	NA	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr5.raw	5	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 5	homo sapiens	NA	NA	NA	Female	normal	NA	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_Fr6.raw	6	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 5	homo sapiens	NA	NA	NA	Female	normal	NA	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT1.raw	8	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 5	homo sapiens	NA	NA	NA	Female	normal	NA	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT2.raw	9	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 5	homo sapiens	NA	NA	NA	Female	normal	NA	20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120128_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep3_FT3.raw	10	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 6	homo sapiens	NA	NA	NA	Female	normal	NA	20120202_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120202_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr1.raw	1	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 6	homo sapiens	NA	NA	NA	Female	normal	NA	20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr2.raw	2	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 6	homo sapiens	NA	NA	NA	Female	normal	NA	20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr3.raw	3	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 6	homo sapiens	NA	NA	NA	Female	normal	NA	20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr4.raw	4	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 6	homo sapiens	NA	NA	NA	Female	normal	NA	20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr5.raw	5	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 6	homo sapiens	NA	NA	NA	Female	normal	NA	20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_Fr6.raw	6	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 6	homo sapiens	NA	NA	NA	Female	normal	NA	20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT1.raw	8	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 6	homo sapiens	NA	NA	NA	Female	normal	NA	20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT2.raw	9	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 6	homo sapiens	NA	NA	NA	Female	normal	NA	20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120206_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Control_rep6_FT3.raw	10	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 7	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr1.raw	1	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 7	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr2.raw	2	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 7	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr3.raw	3	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 7	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr4.raw	4	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 7	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr5.raw	5	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 7	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_Fr6.raw	6	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 7	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT1.raw	8	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 7	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT2.raw	9	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 7	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120207_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep1_FT3.raw	10	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 8	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr1.raw	1	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 8	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr2.raw	2	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 8	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr3.raw	3	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 8	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr4.raw	4	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 8	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr5.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr5.raw	5	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 8	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_Fr6.raw	6	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 8	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT1.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT1.raw	8	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 8	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT2.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT2.raw	9	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
sample 8	homo sapiens	NA	NA	NA	Female	Nocodazole	NA	20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT3.raw	ftp://ftp.pride.ebi.ac.uk/pride/archive/projects/PXD000612/20120208_EXQ5_KiSh_SA_LabelFree_HeLa_Phospho_Nocodazole_rep2_FT3.raw	10	AC=MS:1002038;NM=label free sample	AC=MS:1001911;NM=Q Exactive	20 ppm	0.05 Da	AC=MS:1000422;NM=HCD	AC=MS:1001251;NM=Trypsin	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	"NM=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21"	NA	NA
