source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[compound]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]	factor value[compound]
Sample 26	Homo sapiens	lymph node	not available	not available	Diffuse large B-cell lymphoma	not available	not available	OCI-Ly2	no compound	glycosylation	2	cell	run 78	proteomic profiling by mass spectrometry	UM_2009_A_2920_a2-NCEB1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2920_a2-NCEB1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	OCI-Ly2	no compound
Sample 27	Homo sapiens	peripheral blood	57Y	not available	lymphoma	not available	lymphoblast	NCEB-1	no compound	glycosylation	2	cell	run 79	proteomic profiling by mass spectrometry	UM_2009_A_2920_a3-NCEB1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_2920_a3-NCEB1.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NCEB-1	no compound
Sample 27	Homo sapiens	peripheral blood	57Y	not available	lymphoma	not available	lymphoblast	NCEB-1	no compound	glycosylation	2	cell	run 80	proteomic profiling by mass spectrometry	UM_2009_A_3210_a1-RAMOS.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3210_a1-RAMOS.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NCEB-1	no compound
Sample 27	Homo sapiens	peripheral blood	57Y	not available	lymphoma	not available	lymphoblast	NCEB-1	no compound	glycosylation	2	cell	run 81	proteomic profiling by mass spectrometry	UM_2009_A_3210_a2-RAMOS.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3210_a2-RAMOS.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NCEB-1	no compound
Sample 28	Homo sapiens	lymphoblast	3Y	male	Burkitt's lymphoma (American)	Caucasian	B lymphocyte	Ramos	no compound	glycosylation	1	cell	run 82	proteomic profiling by mass spectrometry	UM_2009_A_3210_a3-RAMOS.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3210_a3-RAMOS.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Ramos	no compound
Sample 28	Homo sapiens	lymphoblast	3Y	male	Burkitt's lymphoma (American)	Caucasian	B lymphocyte	Ramos	no compound	glycosylation	1	cell	run 83	proteomic profiling by mass spectrometry	UM_2009_A_3240_a3-RAMOS.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3240_a3-RAMOS.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Ramos	no compound
Sample 28	Homo sapiens	lymphoblast	3Y	male	Burkitt's lymphoma (American)	Caucasian	B lymphocyte	Ramos	no compound	glycosylation	1	cell	run 84	proteomic profiling by mass spectrometry	UM_2009_A_3240_a4-RAMOS.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3240_a4-RAMOS.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Ramos	no compound
Sample 29	Homo sapiens	lymphoblast	3Y	male	Burkitt's lymphoma (American)	Caucasian	B lymphocyte	Ramos	no compound	glycosylation	2	cell	run 85	proteomic profiling by mass spectrometry	UM_2009_A_3240_a5-RAMOS.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3240_a5-RAMOS.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Ramos	no compound
Sample 29	Homo sapiens	lymphoblast	3Y	male	Burkitt's lymphoma (American)	Caucasian	B lymphocyte	Ramos	no compound	glycosylation	2	cell	run 86	proteomic profiling by mass spectrometry	UM_2009_A_3241_a1-DEV.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3241_a1-DEV.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Ramos	no compound
Sample 29	Homo sapiens	lymphoblast	3Y	male	Burkitt's lymphoma (American)	Caucasian	B lymphocyte	Ramos	no compound	glycosylation	2	cell	run 87	proteomic profiling by mass spectrometry	UM_2009_A_3241_a2-DEV.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3241_a2-DEV.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Ramos	no compound
Sample 30	Homo sapiens	lymphoblast	not available	not available	Nodular lymphocyte predominant Hodgkin lymphoma	not available	B lymphocyte	DEV	no compound	glycosylation	1	cell	run 88	proteomic profiling by mass spectrometry	UM_2009_A_3241_a3-DEV.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3241_a3-DEV.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEV	no compound
Sample 30	Homo sapiens	lymphoblast	not available	not available	Nodular lymphocyte predominant Hodgkin lymphoma	not available	B lymphocyte	DEV	no compound	glycosylation	1	cell	run 89	proteomic profiling by mass spectrometry	UM_2009_A_3242_a1-DEV.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3242_a1-DEV.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEV	no compound
Sample 30	Homo sapiens	lymphoblast	not available	not available	Nodular lymphocyte predominant Hodgkin lymphoma	not available	B lymphocyte	DEV	no compound	glycosylation	1	cell	run 90	proteomic profiling by mass spectrometry	UM_2009_A_3242_a2-DEV.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3242_a2-DEV.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEV	no compound
Sample 31	Homo sapiens	lymphoblast	not available	not available	Nodular lymphocyte predominant Hodgkin lymphoma	not available	B lymphocyte	DEV	no compound	glycosylation	2	cell	run 91	proteomic profiling by mass spectrometry	UM_2009_A_3242_a3-DEV.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3242_a3-DEV.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEV	no compound
Sample 31	Homo sapiens	lymphoblast	not available	not available	Nodular lymphocyte predominant Hodgkin lymphoma	not available	B lymphocyte	DEV	no compound	glycosylation	2	cell	run 92	proteomic profiling by mass spectrometry	UM_2009_A_3245_a1-NCEB1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3245_a1-NCEB1.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEV	no compound
Sample 31	Homo sapiens	lymphoblast	not available	not available	Nodular lymphocyte predominant Hodgkin lymphoma	not available	B lymphocyte	DEV	no compound	glycosylation	2	cell	run 93	proteomic profiling by mass spectrometry	UM_2009_A_3245_a2-NCEB1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3245_a2-NCEB1.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	DEV	no compound
Sample 32	Homo sapiens	peripheral blood	57Y	not available	lymphoma	not available	lymphoblast	NCEB-1	no compound	glycosylation	3	cell	run 94	proteomic profiling by mass spectrometry	UM_2009_A_3245_a3-NCEB1.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3245_a3-NCEB1.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NCEB-1	no compound
Sample 32	Homo sapiens	peripheral blood	57Y	not available	lymphoma	not available	lymphoblast	NCEB-1	no compound	glycosylation	3	cell	run 95	proteomic profiling by mass spectrometry	UM_2009_A_3385_a1-OCILY2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3385_a1-OCILY2.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NCEB-1	no compound
Sample 32	Homo sapiens	peripheral blood	57Y	not available	lymphoma	not available	lymphoblast	NCEB-1	no compound	glycosylation	3	cell	run 96	proteomic profiling by mass spectrometry	UM_2009_A_3385_a2-OCILY2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3385_a2-OCILY2.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	NCEB-1	no compound
Sample 33	Homo sapiens	lymph node	not available	not available	Diffuse large B-cell lymphoma	not available	not available	OCI-Ly2	no compound	glycosylation	3	cell	run 97	proteomic profiling by mass spectrometry	UM_2009_A_3385_a3-OCILY2.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3385_a3-OCILY2.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	OCI-Ly2	no compound
Sample 33	Homo sapiens	lymph node	not available	not available	Diffuse large B-cell lymphoma	not available	not available	OCI-Ly2	no compound	glycosylation	3	cell	run 98	proteomic profiling by mass spectrometry	UM_2009_A_3447_a1-FL218.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3447_a1-FL218.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	OCI-Ly2	no compound
Sample 33	Homo sapiens	lymph node	not available	not available	Diffuse large B-cell lymphoma	not available	not available	OCI-Ly2	no compound	glycosylation	3	cell	run 99	proteomic profiling by mass spectrometry	UM_2009_A_3447_a2-FL218.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3447_a2-FL218.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	OCI-Ly2	no compound
Sample 34	Homo sapiens	lymphoblast	not available	not available	Transformed follicular lymphoma	not available	B lymphocyte	FL-218	no compound	glycosylation	3	cell	run 100	proteomic profiling by mass spectrometry	UM_2009_A_3447_a3-FL218.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3447_a3-FL218.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	FL-218	no compound
Sample 34	Homo sapiens	lymphoblast	not available	not available	Transformed follicular lymphoma	not available	B lymphocyte	FL-218	no compound	glycosylation	3	cell	run 101	proteomic profiling by mass spectrometry	UM_2009_A_3494_a1-RAJI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3494_a1-RAJI.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	FL-218	no compound
Sample 34	Homo sapiens	lymphoblast	not available	not available	Transformed follicular lymphoma	not available	B lymphocyte	FL-218	no compound	glycosylation	3	cell	run 102	proteomic profiling by mass spectrometry	UM_2009_A_3494_a2-RAJI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3494_a2-RAJI.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	FL-218	no compound
Sample 35	Homo sapiens	lymphoblast	11Y	male	Burkitt's lymphoma	Black	B lymphocyte	Raji	no compound	glycosylation	1	cell	run 103	proteomic profiling by mass spectrometry	UM_2009_A_3494_a3-RAJI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3494_a3-RAJI.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Raji	no compound
Sample 35	Homo sapiens	lymphoblast	11Y	male	Burkitt's lymphoma	Black	B lymphocyte	Raji	no compound	glycosylation	1	cell	run 104	proteomic profiling by mass spectrometry	UM_2009_A_3495_a1-RAJI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3495_a1-RAJI.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Raji	no compound
Sample 35	Homo sapiens	lymphoblast	11Y	male	Burkitt's lymphoma	Black	B lymphocyte	Raji	no compound	glycosylation	1	cell	run 105	proteomic profiling by mass spectrometry	UM_2009_A_3495_a2-RAJI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3495_a2-RAJI.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Raji	no compound
Sample 36	Homo sapiens	lymphoblast	11Y	male	Burkitt's lymphoma	Black	B lymphocyte	Raji	no compound	glycosylation	2	cell	run 106	proteomic profiling by mass spectrometry	UM_2009_A_3495_a3-RAJI.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_A_3495_a3-RAJI.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Raji	no compound
Sample 36	Homo sapiens	lymphoblast	11Y	male	Burkitt's lymphoma	Black	B lymphocyte	Raji	no compound	glycosylation	2	cell	run 107	proteomic profiling by mass spectrometry	UM_2009_b_1383-SUDHL4.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_b_1383-SUDHL4.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Raji	no compound
Sample 36	Homo sapiens	lymphoblast	11Y	male	Burkitt's lymphoma	Black	B lymphocyte	Raji	no compound	glycosylation	2	cell	run 108	proteomic profiling by mass spectrometry	UM_2009_c_1383-SUDHL4.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2009_c_1383-SUDHL4.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Raji	no compound
Sample 37	Homo sapiens	Blood	not available	not available	Mantle cell lymphoma	not available	B lymphocyte	Granta 519	no compound	glycosylation	1	cell	run 109	proteomic profiling by mass spectrometry	UM_2010_A_0003_a1-GRANTA519.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2010_A_0003_a1-GRANTA519.mzXML	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Granta 519	no compound
Sample 37	Homo sapiens	Blood	not available	not available	Mantle cell lymphoma	not available	B lymphocyte	Granta 519	no compound	glycosylation	1	cell	run 110	proteomic profiling by mass spectrometry	UM_2010_A_0003_a2-GRANTA519.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2010_A_0003_a2-GRANTA519.mzXML	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Granta 519	no compound
Sample 37	Homo sapiens	Blood	not available	not available	Mantle cell lymphoma	not available	B lymphocyte	Granta 519	no compound	glycosylation	1	cell	run 111	proteomic profiling by mass spectrometry	UM_2010_A_0003_a3-GRANTA519.mzXML	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD003469/UM_2010_A_0003_a3-GRANTA519.mzXML	3	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=variable;AC=UNIMOD:4	NT=Asn->Asp;AC=UNIMOD:621;MT=variable;TA=N	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	50 ppm	0.8 Da	Granta 519	no compound
