Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[age]	Characteristics[sex]	Characteristics[ancestry category]	Characteristics[cell type]	Characteristics[cell line]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[cell line]
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 171	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr06.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr06.raw	6	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 172	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr07.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr07.raw	7	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 173	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr08.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr08.raw	8	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 174	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr09.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr09.raw	9	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 175	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr10.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr10.raw	10	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 176	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr11.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr11.raw	11	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 177	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr12.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr12.raw	12	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 178	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr13.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr13.raw	13	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 179	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr14.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr14.raw	14	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 12	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	male	Caucasian	not available	COLO201	run 180	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO201_fr15.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO201_fr15.raw	15	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO201
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 181	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr01.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr01.raw	1	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 182	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr02.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr02.raw	2	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 183	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr03.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr03.raw	3	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 184	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr04.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr04.raw	4	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 185	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr05.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr05.raw	5	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 186	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr06.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr06.raw	6	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 187	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr07.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr07.raw	7	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 188	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr08.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr08.raw	8	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 189	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr09.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr09.raw	9	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 190	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr10.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr10.raw	10	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 191	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr11.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr11.raw	11	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 192	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr12.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr12.raw	12	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 193	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr13.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr13.raw	13	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 194	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr14.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr14.raw	14	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 13	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	70Y	Male	Caucasian	epithelial	COLO205	run 195	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO205_fr15.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO205_fr15.raw	15	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO205
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 196	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr01.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr01.raw	1	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 197	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr02.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr02.raw	2	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 198	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr03.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr03.raw	3	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 199	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr04.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr04.raw	4	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 200	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr05.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr05.raw	5	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 201	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr06.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr06.raw	6	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 202	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr07.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr07.raw	7	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 203	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr08.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr08.raw	8	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 204	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr09.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr09.raw	9	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 205	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr10.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr10.raw	10	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 206	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr11.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr11.raw	11	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 207	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr12.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr12.raw	12	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 208	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr13.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr13.raw	13	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 209	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr14.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr14.raw	14	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 14	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	not available	not available	not available	not available	COLO320	run 210	proteomic profiling by mass spectrometry	A0253_klc_20130826r_COLO320_fr15.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_COLO320_fr15.raw	15	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	COLO320
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 211	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr01.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr01.raw	1	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 212	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr02.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr02.raw	2	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 213	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr03.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr03.raw	3	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 214	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr04.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr04.raw	4	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 215	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr05.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr05.raw	5	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 216	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr06.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr06.raw	6	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 217	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr07.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr07.raw	7	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 218	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr08.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr08.raw	8	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 219	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr09.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr09.raw	9	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
Sample 15	Homo sapiens	not applicable	adult	Colorectal adenocarcinoma	not available	male	not available	epithelial	DLD1	run 220	proteomic profiling by mass spectrometry	A0253_klc_20130826r_DLD1_fr10.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_klc_20130826r_DLD1_fr10.raw	10	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	cell	DLD1
